"VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge"
"1","01/01/2021 12:30:10 AM","01/01/2021 12:36:12 AM",1.0,2.1,1.0,N,142.0,43.0,2.0,8.0,3.0,0.5,0.0,0.0,0.3,11.8,2.5
"1","01/01/2021 12:51:20 AM","01/01/2021 12:52:19 AM",1.0,0.2,1.0,N,238.0,151.0,2.0,3.0,0.5,0.5,0.0,0.0,0.3,4.3,0.0
"1","01/01/2021 12:43:30 AM","01/01/2021 01:11:06 AM",1.0,14.7,1.0,N,132.0,165.0,1.0,42.0,0.5,0.5,8.65,0.0,0.3,51.95,0.0
"1","01/01/2021 12:15:48 AM","01/01/2021 12:31:01 AM",0.0,10.6,1.0,N,138.0,132.0,1.0,29.0,0.5,0.5,6.05,0.0,0.3,36.35,0.0
"2","01/01/2021 12:31:49 AM","01/01/2021 12:48:21 AM",1.0,4.94,1.0,N,68.0,33.0,1.0,16.5,0.5,0.5,4.06,0.0,0.3,24.36,2.5
"1","01/01/2021 12:16:29 AM","01/01/2021 12:24:30 AM",1.0,1.6,1.0,N,224.0,68.0,1.0,8.0,3.0,0.5,2.35,0.0,0.3,14.15,2.5
"1","01/01/2021 12:00:28 AM","01/01/2021 12:17:28 AM",1.0,4.1,1.0,N,95.0,157.0,2.0,16.0,0.5,0.5,0.0,0.0,0.3,17.3,0.0
"1","01/01/2021 12:12:29 AM","01/01/2021 12:30:34 AM",1.0,5.7,1.0,N,90.0,40.0,2.0,18.0,3.0,0.5,0.0,0.0,0.3,21.8,2.5
"1","01/01/2021 12:39:16 AM","01/01/2021 01:00:13 AM",1.0,9.1,1.0,N,97.0,129.0,4.0,27.5,0.5,0.5,0.0,0.0,0.3,28.8,0.0
"1","01/01/2021 12:26:12 AM","01/01/2021 12:39:46 AM",2.0,2.7,1.0,N,263.0,142.0,1.0,12.0,3.0,0.5,3.15,0.0,0.3,18.95,2.5
"2","01/01/2021 12:15:52 AM","01/01/2021 12:38:07 AM",3.0,6.11,1.0,N,164.0,255.0,1.0,20.5,0.5,0.5,0.0,0.0,0.3,24.3,2.5
"2","01/01/2021 12:46:36 AM","01/01/2021 12:53:45 AM",2.0,1.21,1.0,N,255.0,80.0,1.0,7.0,0.5,0.5,2.49,0.0,0.3,10.79,0.0
"1","01/01/2021 12:10:46 AM","01/01/2021 12:32:58 AM",2.0,7.4,1.0,N,138.0,166.0,2.0,24.5,2.5,0.5,0.0,6.12,0.3,33.92,0.0
"2","01/01/2021 12:31:06 AM","01/01/2021 12:38:52 AM",5.0,1.7,1.0,N,142.0,50.0,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
"2","01/01/2021 12:42:11 AM","01/01/2021 12:44:24 AM",5.0,0.81,1.0,N,50.0,142.0,2.0,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
"2","01/01/2021 12:17:48 AM","01/01/2021 12:21:55 AM",1.0,1.01,1.0,N,236.0,237.0,1.0,5.5,0.5,0.5,1.0,0.0,0.3,10.3,2.5
"2","01/01/2021 12:33:38 AM","01/01/2021 12:38:37 AM",1.0,0.73,1.0,N,142.0,239.0,1.0,5.5,0.5,0.5,2.79,0.0,0.3,12.09,2.5
"2","01/01/2021 12:47:56 AM","01/01/2021 12:52:53 AM",1.0,1.17,1.0,N,238.0,166.0,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
"2","01/01/2021 12:04:21 AM","01/01/2021 12:07:58 AM",1.0,0.78,1.0,N,239.0,238.0,1.0,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5
"2","01/01/2021 12:18:36 AM","01/01/2021 12:27:10 AM",2.0,1.66,1.0,N,151.0,142.0,2.0,8.5,0.5,0.5,0.0,0.0,0.3,12.3,2.5
"2","01/01/2021 12:43:41 AM","01/01/2021 12:48:17 AM",3.0,0.93,1.0,N,239.0,142.0,2.0,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5
"2","01/01/2021 12:56:30 AM","01/01/2021 01:02:03 AM",2.0,1.16,1.0,N,238.0,142.0,1.0,6.5,0.5,0.5,1.54,0.0,0.3,11.84,2.5
"1","01/01/2021 12:16:27 AM","01/01/2021 12:25:36 AM",0.0,2.2,1.0,N,249.0,137.0,3.0,9.0,3.0,0.5,0.0,0.0,0.3,12.8,2.5
"1","01/01/2021 12:37:59 AM","01/01/2021 01:01:37 AM",0.0,3.6,1.0,N,107.0,163.0,1.0,17.0,3.0,0.5,10.0,0.0,0.3,30.8,2.5
"1","01/01/2021 12:37:40 AM","01/01/2021 01:04:46 AM",2.0,19.1,1.0,N,132.0,3.0,2.0,52.0,0.5,0.5,0.0,6.12,0.3,59.42,0.0
"1","01/01/2021 12:54:24 AM","01/01/2021 01:16:33 AM",1.0,5.4,1.0,N,48.0,226.0,2.0,20.0,3.0,0.5,0.0,0.0,0.3,23.8,2.5
"2","01/01/2021 12:34:37 AM","01/01/2021 12:47:22 AM",4.0,3.15,1.0,N,238.0,162.0,1.0,12.5,0.5,0.5,2.0,0.0,0.3,18.3,2.5
"2","01/01/2021 12:06:24 AM","01/01/2021 12:23:40 AM",1.0,4.65,1.0,N,4.0,43.0,1.0,17.0,0.5,0.5,2.0,0.0,0.3,22.8,2.5
"2","01/01/2021 12:35:17 AM","01/01/2021 12:57:17 AM",1.0,4.07,1.0,N,48.0,41.0,1.0,18.0,0.5,0.5,4.36,0.0,0.3,26.16,2.5
"1","01/01/2021 12:24:30 AM","01/01/2021 12:46:32 AM",1.0,14.3,1.0,N,132.0,226.0,2.0,39.0,0.5,0.5,0.0,0.0,0.3,40.3,0.0
"2","01/01/2021 12:13:44 AM","01/01/2021 12:28:16 AM",1.0,3.96,1.0,N,229.0,151.0,1.0,14.5,0.5,0.5,4.58,0.0,0.3,22.88,2.5
"2","01/01/2021 12:36:08 AM","01/01/2021 12:38:29 AM",1.0,0.76,1.0,N,238.0,166.0,2.0,4.5,0.5,0.5,0.0,0.0,0.3,5.8,0.0
"2","01/01/2021 12:43:03 AM","01/01/2021 12:47:18 AM",2.0,0.64,1.0,N,151.0,238.0,1.0,5.0,0.5,0.5,2.2,0.0,0.3,11.0,2.5
"1","01/01/2021 12:06:08 AM","01/01/2021 12:18:08 AM",4.0,3.0,1.0,N,138.0,82.0,2.0,12.0,0.5,0.5,0.0,0.0,0.3,13.3,0.0
"2","01/01/2021 12:19:57 AM","01/01/2021 12:43:03 AM",3.0,10.74,1.0,N,264.0,231.0,1.0,32.5,0.5,0.5,4.0,0.0,0.3,40.3,2.5
"2","01/01/2021 12:20:13 AM","01/01/2021 12:32:11 AM",1.0,2.62,1.0,N,263.0,142.0,2.0,10.5,0.5,0.5,0.0,0.0,0.3,14.3,2.5
"2","01/01/2021 12:55:13 AM","01/01/2021 01:23:03 AM",1.0,13.67,1.0,N,48.0,32.0,2.0,38.0,0.5,0.5,0.0,0.0,0.3,41.8,2.5
"1","01/01/2021 12:25:09 AM","01/01/2021 12:45:43 AM",1.0,6.1,1.0,N,151.0,90.0,2.0,21.0,3.0,0.5,0.0,0.0,0.3,24.8,2.5
"1","01/01/2021 12:03:13 AM","01/01/2021 12:03:19 AM",1.0,0.0,1.0,N,169.0,169.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1","01/01/2021 12:52:42 AM","01/01/2021 01:04:49 AM",1.0,0.0,1.0,N,238.0,42.0,1.0,17.2,0.0,0.5,0.0,0.0,0.3,18.0,0.0
"1","01/01/2021 12:08:51 AM","01/01/2021 12:15:31 AM",1.0,2.0,1.0,N,137.0,140.0,2.0,7.5,2.5,0.5,0.0,0.0,0.3,10.8,2.5
"1","01/01/2021 12:30:32 AM","01/01/2021 12:34:12 AM",2.0,1.0,1.0,N,114.0,234.0,2.0,5.5,3.0,0.5,0.0,0.0,0.3,9.3,2.5
"2","01/01/2021 12:03:48 AM","01/01/2021 12:14:29 AM",1.0,1.98,1.0,N,100.0,229.0,2.0,9.5,0.5,0.5,0.0,0.0,0.3,13.3,2.5
"2","01/01/2021 12:16:19 AM","01/01/2021 12:21:49 AM",1.0,1.27,1.0,N,229.0,170.0,2.0,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5
"2","01/01/2021 12:47:17 AM","01/01/2021 12:52:48 AM",1.0,1.66,1.0,N,48.0,239.0,2.0,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5
