VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1.0,01/01/2020 12:28:15 AM,01/01/2020 12:33:03 AM,1.0,1.2,1.0,N,238.0,239.0,1.0,3.0,0.5,1.47,0.0,0.3,11.27,2.5
1.0,01/01/2020 12:35:39 AM,01/01/2020 12:43:04 AM,1.0,1.2,1.0,N,239.0,238.0,1.0,3.0,0.5,1.5,0.0,0.3,12.3,2.5
1.0,01/01/2020 12:47:41 AM,01/01/2020 12:53:52 AM,1.0,0.6,1.0,N,238.0,238.0,1.0,3.0,0.5,1.0,0.0,0.3,10.8,2.5
1.0,01/01/2020 12:55:23 AM,01/01/2020 01:00:14 AM,1.0,0.8,1.0,N,238.0,151.0,1.0,0.5,0.5,1.36,0.0,0.3,8.16,0.0
2.0,01/01/2020 12:01:58 AM,01/01/2020 12:04:16 AM,1.0,0.0,1.0,N,193.0,193.0,2.0,0.5,0.5,0.0,0.0,0.3,4.8,0.0
2.0,01/01/2020 12:09:44 AM,01/01/2020 12:10:37 AM,1.0,0.03,1.0,N,7.0,193.0,2.0,0.5,0.5,0.0,0.0,0.3,3.8,0.0
2.0,01/01/2020 12:39:25 AM,01/01/2020 12:39:29 AM,1.0,0.0,1.0,N,193.0,193.0,1.0,0.5,0.5,0.01,0.0,0.3,3.81,0.0
2.0,12/18/2019 03:27:49 PM,12/18/2019 03:28:59 PM,1.0,0.0,5.0,N,193.0,193.0,1.0,0.0,0.0,0.0,0.0,0.3,2.81,2.5
2.0,12/18/2019 03:30:35 PM,12/18/2019 03:31:35 PM,4.0,0.0,1.0,N,193.0,193.0,1.0,0.5,0.5,0.0,0.0,0.3,6.3,2.5
1.0,01/01/2020 12:29:01 AM,01/01/2020 12:40:28 AM,2.0,0.7,1.0,N,246.0,48.0,1.0,3.0,0.5,2.35,0.0,0.3,14.15,2.5
1.0,01/01/2020 12:55:11 AM,01/01/2020 01:12:03 AM,2.0,2.4,1.0,N,246.0,79.0,1.0,3.0,0.5,1.75,0.0,0.3,17.55,2.5
1.0,01/01/2020 12:37:15 AM,01/01/2020 12:51:41 AM,1.0,0.8,1.0,N,163.0,161.0,2.0,3.0,0.5,0.0,0.0,0.3,13.3,2.5
1.0,01/01/2020 12:56:27 AM,01/01/2020 01:21:44 AM,1.0,3.3,1.0,N,161.0,144.0,1.0,3.0,0.5,4.15,0.0,0.3,24.95,2.5
2.0,01/01/2020 12:21:54 AM,01/01/2020 12:27:31 AM,1.0,1.07,1.0,N,43.0,239.0,1.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
2.0,01/01/2020 12:38:01 AM,01/01/2020 01:15:21 AM,1.0,7.76,1.0,N,143.0,25.0,1.0,0.5,0.5,4.84,0.0,0.3,37.14,2.5
1.0,01/01/2020 12:15:35 AM,01/01/2020 12:27:06 AM,3.0,1.6,1.0,N,211.0,234.0,2.0,3.0,0.5,0.0,0.0,0.3,12.8,2.5
1.0,01/01/2020 12:41:20 AM,01/01/2020 12:44:22 AM,1.0,0.5,1.0,Y,234.0,90.0,1.0,3.0,0.5,1.0,0.0,0.3,8.8,2.5
1.0,01/01/2020 12:56:38 AM,01/01/2020 01:13:34 AM,1.0,1.7,1.0,N,246.0,142.0,2.0,3.0,0.5,0.0,0.0,0.3,15.3,2.5
2.0,01/01/2020 12:08:21 AM,01/01/2020 12:25:29 AM,1.0,8.45,1.0,N,138.0,216.0,2.0,0.5,0.5,0.0,0.0,0.3,25.8,0.0
1.0,01/01/2020 12:25:39 AM,01/01/2020 12:27:05 AM,1.0,0.0,1.0,N,170.0,162.0,4.0,3.0,0.5,0.0,0.0,0.3,6.8,2.5
1.0,01/01/2020 12:28:53 AM,01/01/2020 12:41:59 AM,1.0,1.5,1.0,N,170.0,161.0,1.0,3.0,0.5,2.65,0.0,0.3,15.95,2.5
1.0,01/01/2020 12:49:00 AM,01/01/2020 01:17:42 AM,1.0,2.9,1.0,N,161.0,262.0,1.0,3.0,0.5,4.55,0.0,0.3,27.35,2.5
1.0,01/01/2020 12:23:54 AM,01/01/2020 12:38:46 AM,1.0,1.9,1.0,N,236.0,162.0,1.0,3.0,0.5,2.85,0.0,0.3,17.15,2.5
1.0,01/01/2020 12:56:12 AM,01/01/2020 01:19:57 AM,1.0,4.2,1.0,N,50.0,261.0,1.0,3.0,0.5,4.35,0.0,0.3,26.15,2.5
1.0,01/01/2020 12:28:02 AM,01/01/2020 12:35:56 AM,2.0,1.5,1.0,N,142.0,236.0,1.0,3.0,0.5,2.8,0.0,0.3,14.1,2.5
1.0,01/01/2020 12:48:23 AM,01/01/2020 12:53:58 AM,1.0,0.6,1.0,N,237.0,141.0,1.0,3.0,0.5,1.85,0.0,0.3,11.15,2.5
2.0,01/01/2020 12:13:53 AM,01/01/2020 12:40:35 AM,1.0,5.73,1.0,N,246.0,112.0,2.0,0.5,0.5,0.0,6.12,0.3,30.92,2.5
