VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,02/15/2021 02:31:38 PM,02/15/2021 02:38:01 PM,1.0,1.44,1.0,N,142.0,50.0,1.0,6.5,0.0,0.5,2.94,0.0,0.3,12.74,2.5
2,02/15/2021 02:46:00 PM,02/15/2021 03:00:51 PM,2.0,3.08,1.0,N,170.0,231.0,1.0,12.5,0.0,0.5,3.16,0.0,0.3,18.96,2.5
2,02/15/2021 02:07:18 PM,02/15/2021 02:18:51 PM,1.0,2.33,1.0,N,238.0,43.0,1.0,10.0,0.0,0.5,2.66,0.0,0.3,15.96,2.5
2,02/15/2021 02:46:33 PM,02/15/2021 03:03:22 PM,1.0,3.81,1.0,N,170.0,263.0,1.0,14.0,0.0,0.5,3.46,0.0,0.3,20.76,2.5
1,02/15/2021 02:01:30 PM,02/15/2021 02:20:28 PM,1.0,7.2,1.0,N,161.0,244.0,2.0,23.5,2.5,0.5,0.0,0.0,0.3,26.8,2.5
1,02/15/2021 02:35:30 PM,02/15/2021 02:38:19 PM,3.0,0.4,1.0,N,116.0,152.0,2.0,4.0,0.0,0.5,0.0,0.0,0.3,4.8,0.0
1,02/15/2021 02:46:56 PM,02/15/2021 02:53:05 PM,1.0,1.2,1.0,N,151.0,239.0,1.0,6.5,2.5,0.5,9.0,0.0,0.3,18.8,2.5
2,02/15/2021 02:06:16 PM,02/15/2021 02:14:40 PM,1.0,2.32,1.0,N,234.0,229.0,1.0,9.5,0.0,0.5,2.56,0.0,0.3,15.36,2.5
2,02/15/2021 02:16:27 PM,02/15/2021 02:23:35 PM,1.0,1.62,1.0,N,229.0,236.0,2.0,7.0,0.0,0.5,0.0,0.0,0.3,10.3,2.5
2,02/15/2021 02:25:16 PM,02/15/2021 02:38:40 PM,2.0,1.99,1.0,N,236.0,230.0,2.0,10.5,0.0,0.5,0.0,0.0,0.3,13.8,2.5
2,02/15/2021 02:49:59 PM,02/15/2021 03:02:34 PM,1.0,1.76,1.0,N,234.0,48.0,1.0,10.0,0.0,0.5,2.66,0.0,0.3,15.96,2.5
2,02/15/2021 02:19:03 PM,02/15/2021 02:33:22 PM,1.0,2.08,1.0,N,209.0,113.0,2.0,9.5,0.0,0.5,0.0,0.0,0.3,12.8,2.5
2,02/15/2021 02:36:09 PM,02/15/2021 02:49:03 PM,1.0,1.76,1.0,N,113.0,231.0,1.0,10.0,0.0,0.5,2.66,0.0,0.3,15.96,2.5
2,02/15/2021 02:53:44 PM,02/15/2021 03:00:35 PM,1.0,1.49,1.0,N,211.0,234.0,1.0,7.0,0.0,0.5,2.06,0.0,0.3,12.36,2.5
1,02/15/2021 02:51:33 PM,02/15/2021 02:57:54 PM,0.0,1.3,1.0,N,41.0,166.0,2.0,6.5,0.0,0.5,0.0,0.0,0.3,7.3,0.0
2,02/15/2021 02:38:51 PM,02/15/2021 02:46:36 PM,5.0,1.49,1.0,N,239.0,163.0,2.0,7.0,0.0,0.5,0.0,0.0,0.3,10.3,2.5
2,02/15/2021 02:48:44 PM,02/15/2021 02:56:07 PM,5.0,1.01,1.0,N,163.0,233.0,1.0,6.5,0.0,0.5,2.94,0.0,0.3,12.74,2.5
2,02/15/2021 02:01:54 PM,02/15/2021 02:06:34 PM,1.0,0.78,1.0,N,140.0,237.0,1.0,5.0,0.0,0.5,1.5,0.0,0.3,9.8,2.5
2,02/15/2021 02:08:29 PM,02/15/2021 02:12:59 PM,1.0,0.71,1.0,N,162.0,229.0,2.0,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5
2,02/15/2021 02:24:57 PM,02/15/2021 02:29:29 PM,1.0,1.15,1.0,N,162.0,264.0,1.0,5.5,0.0,0.5,2.0,0.0,0.3,10.8,2.5
2,02/15/2021 02:32:17 PM,02/15/2021 02:43:16 PM,1.0,2.42,1.0,N,141.0,50.0,1.0,10.0,0.0,0.5,2.0,0.0,0.3,15.3,2.5
2,02/15/2021 02:49:38 PM,02/15/2021 02:54:10 PM,1.0,0.67,1.0,N,246.0,68.0,1.0,5.0,0.0,0.5,2.08,0.0,0.3,10.38,2.5
2,02/15/2021 02:57:05 PM,02/15/2021 03:02:57 PM,1.0,0.74,1.0,N,186.0,246.0,1.0,5.5,0.0,0.5,2.0,0.0,0.3,10.8,2.5
1,02/15/2021 02:29:49 PM,02/15/2021 03:25:52 PM,3.0,39.0,5.0,N,138.0,265.0,1.0,0.0,0.0,0.0,90.0,17.87,0.3,108.17,0.0
1,02/15/2021 02:45:28 PM,02/15/2021 03:09:09 PM,2.0,9.1,1.0,N,138.0,232.0,1.0,28.5,2.5,0.5,5.0,0.0,0.3,36.8,2.5
1,02/15/2021 02:17:52 PM,02/15/2021 02:40:32 PM,2.0,10.2,1.0,N,138.0,141.0,1.0,31.0,2.5,0.5,7.0,0.0,0.3,41.3,2.5
2,02/15/2021 02:29:34 PM,02/15/2021 02:43:41 PM,1.0,2.65,1.0,N,164.0,140.0,1.0,12.0,0.0,0.5,1.0,0.0,0.3,16.3,2.5
1,02/15/2021 02:18:01 PM,02/15/2021 02:23:15 PM,4.0,0.8,1.0,N,142.0,239.0,1.0,5.5,3.0,0.5,1.0,0.0,0.3,10.3,2.5
1,02/15/2021 02:45:10 PM,02/15/2021 02:52:56 PM,1.0,1.5,1.0,N,239.0,43.0,1.0,7.5,3.0,0.5,1.0,0.0,0.3,12.3,2.5
1,02/15/2021 02:55:54 PM,02/15/2021 03:14:56 PM,2.0,6.1,1.0,N,161.0,87.0,1.0,20.0,3.0,0.5,4.75,0.0,0.3,28.55,2.5
1,02/15/2021 02:33:57 PM,02/15/2021 03:00:21 PM,1.0,21.1,4.0,N,138.0,265.0,1.0,67.0,0.0,0.5,0.0,6.12,0.3,73.92,0.0
2,02/15/2021 02:16:46 PM,02/15/2021 02:20:42 PM,2.0,0.7,1.0,N,90.0,158.0,1.0,4.5,0.0,0.5,1.56,0.0,0.3,9.36,2.5
2,02/15/2021 02:45:20 PM,02/15/2021 02:52:41 PM,2.0,1.84,1.0,N,233.0,113.0,2.0,8.0,0.0,0.5,0.0,0.0,0.3,11.3,2.5
2,02/15/2021 02:00:24 PM,02/15/2021 02:12:03 PM,1.0,2.03,1.0,N,236.0,24.0,1.0,10.5,0.0,0.5,2.76,0.0,0.3,16.56,2.5
2,02/15/2021 02:30:49 PM,02/15/2021 02:38:15 PM,1.0,1.91,1.0,N,163.0,186.0,1.0,8.0,0.0,0.5,2.26,0.0,0.3,13.56,2.5
2,02/15/2021 02:29:34 PM,02/15/2021 02:32:38 PM,1.0,0.53,1.0,N,48.0,48.0,2.0,4.0,0.0,0.5,0.0,0.0,0.3,7.3,2.5
2,02/15/2021 02:48:35 PM,02/15/2021 02:53:23 PM,1.0,0.76,1.0,N,246.0,246.0,1.0,5.5,0.0,0.5,1.0,0.0,0.3,9.8,2.5
2,02/15/2021 02:03:29 PM,02/15/2021 02:15:41 PM,1.0,1.72,1.0,N,230.0,229.0,1.0,9.5,0.0,0.5,1.5,0.0,0.3,14.3,2.5
2,02/15/2021 02:19:03 PM,02/15/2021 02:27:47 PM,1.0,1.81,1.0,N,229.0,170.0,1.0,8.0,0.0,0.5,2.26,0.0,0.3,13.56,2.5
2,02/15/2021 02:56:06 PM,02/15/2021 03:11:57 PM,1.0,2.71,1.0,N,170.0,142.0,1.0,12.0,0.0,0.5,3.06,0.0,0.3,18.36,2.5
2,02/15/2021 02:29:11 PM,02/15/2021 02:58:37 PM,1.0,5.73,1.0,N,74.0,246.0,1.0,22.5,0.0,0.5,5.16,0.0,0.3,30.96,2.5
2,02/15/2021 01:53:12 PM,02/15/2021 01:57:13 PM,6.0,0.84,1.0,N,68.0,100.0,2.0,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5
2,02/15/2021 02:02:02 PM,02/15/2021 02:06:29 PM,6.0,0.88,1.0,N,170.0,234.0,1.0,5.5,0.0,0.5,1.76,0.0,0.3,10.56,2.5
2,02/15/2021 02:20:41 PM,02/15/2021 02:24:29 PM,6.0,0.76,1.0,N,141.0,263.0,2.0,5.0,0.0,0.5,0.0,0.0,0.3,8.3,2.5
1,02/15/2021 02:25:52 PM,02/15/2021 02:31:53 PM,1.0,1.1,1.0,N,263.0,141.0,1.0,6.0,2.5,0.5,1.85,0.0,0.3,11.15,2.5
1,02/15/2021 02:57:58 PM,02/15/2021 03:37:25 PM,1.0,18.0,2.0,N,234.0,132.0,1.0,52.0,2.5,0.5,2.0,7.12,0.3,64.42,2.5
2,02/15/2021 02:23:30 PM,02/15/2021 02:29:21 PM,2.0,1.53,1.0,N,141.0,142.0,1.0,7.0,0.0,0.5,2.58,0.0,0.3,12.88,2.5
2,02/15/2021 02:45:22 PM,02/15/2021 03:23:22 PM,1.0,20.36,1.0,N,132.0,235.0,1.0,55.5,0.0,0.5,12.48,6.12,0.3,74.9,0.0
2,02/15/2021 02:24:41 PM,02/15/2021 02:32:16 PM,2.0,1.28,1.0,N,238.0,142.0,1.0,7.5,0.0,0.5,1.62,0.0,0.3,12.42,2.5
2,02/15/2021 02:46:18 PM,02/15/2021 03:00:54 PM,1.0,3.35,1.0,N,75.0,159.0,2.0,13.0,0.0,0.5,0.0,0.0,0.3,13.8,0.0
1,02/15/2021 02:18:41 PM,02/15/2021 02:30:53 PM,1.0,2.7,1.0,N,100.0,238.0,1.0,11.5,2.5,0.5,2.3,0.0,0.3,17.1,2.5
1,02/15/2021 02:35:23 PM,02/15/2021 02:53:13 PM,1.0,2.7,1.0,N,238.0,237.0,2.0,13.5,2.5,0.5,0.0,0.0,0.3,16.8,2.5
