,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
40000,1.0,01/01/2020 02:48:05 AM,01/01/2020 02:53:32 AM,0.0,0.7,1.0,N,48.0,68.0,2.0,5.5,3.0,0.5,0.0,0.0,0.3,9.3,2.5
40001,1.0,01/01/2020 02:58:27 AM,01/01/2020 03:13:45 AM,6.0,3.5,1.0,N,100.0,148.0,1.0,14.0,3.0,0.5,3.0,0.0,0.3,20.8,2.5
40002,2.0,01/01/2020 02:14:21 AM,01/01/2020 02:37:54 AM,1.0,4.03,1.0,N,113.0,262.0,1.0,17.0,0.5,0.5,4.2,0.0,0.3,25.0,2.5
40003,2.0,01/01/2020 02:18:51 AM,01/01/2020 02:38:44 AM,3.0,4.22,1.0,N,148.0,61.0,1.0,17.0,0.5,0.5,4.16,0.0,0.3,24.96,2.5
40004,2.0,01/01/2020 02:20:19 AM,01/01/2020 02:53:48 AM,1.0,14.4,1.0,N,137.0,123.0,1.0,41.5,0.5,0.5,9.06,0.0,0.3,54.36,2.5
40005,2.0,01/01/2020 02:36:48 AM,01/01/2020 02:54:49 AM,1.0,2.9,1.0,N,48.0,125.0,2.0,13.5,0.5,0.5,0.0,0.0,0.3,17.3,2.5
40006,2.0,01/01/2020 02:58:03 AM,01/01/2020 03:15:59 AM,1.0,4.16,1.0,N,125.0,97.0,1.0,16.0,0.5,0.5,3.96,0.0,0.3,23.76,2.5
40007,2.0,01/01/2020 02:01:35 AM,01/01/2020 02:09:57 AM,2.0,1.01,1.0,N,48.0,246.0,4.0,-7.0,-0.5,-0.5,0.0,0.0,-0.3,-10.8,-2.5
40008,2.0,01/01/2020 02:01:35 AM,01/01/2020 02:09:57 AM,2.0,1.01,1.0,N,48.0,246.0,2.0,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5
40009,2.0,01/01/2020 02:11:28 AM,01/01/2020 02:26:04 AM,2.0,3.01,1.0,N,246.0,144.0,1.0,12.5,0.5,0.5,3.26,0.0,0.3,19.56,2.5
40010,2.0,01/01/2020 02:28:02 AM,01/01/2020 02:36:01 AM,2.0,1.41,1.0,N,144.0,4.0,1.0,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5
40011,2.0,01/01/2020 02:38:35 AM,01/01/2020 02:42:18 AM,2.0,0.51,1.0,N,4.0,79.0,2.0,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
40012,2.0,01/01/2020 02:43:21 AM,01/01/2020 02:50:05 AM,1.0,1.43,1.0,N,79.0,170.0,1.0,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5
40013,2.0,01/01/2020 02:27:51 AM,01/01/2020 02:47:20 AM,1.0,4.32,1.0,N,144.0,48.0,1.0,17.0,0.5,0.5,3.0,0.0,0.3,23.8,2.5
40014,2.0,01/01/2020 02:54:21 AM,01/01/2020 03:09:43 AM,1.0,3.05,1.0,N,48.0,79.0,2.0,12.5,0.5,0.5,0.0,0.0,0.3,16.3,2.5
40015,2.0,01/01/2020 02:00:54 AM,01/01/2020 02:10:21 AM,1.0,1.09,1.0,N,50.0,246.0,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
40016,2.0,01/01/2020 02:11:44 AM,01/01/2020 02:26:24 AM,1.0,2.72,1.0,N,246.0,163.0,2.0,11.5,0.5,0.5,0.0,0.0,0.3,15.3,2.5
40017,2.0,01/01/2020 02:31:57 AM,01/01/2020 02:37:41 AM,1.0,1.43,1.0,N,163.0,238.0,1.0,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5
40018,2.0,01/01/2020 02:50:10 AM,01/01/2020 03:13:55 AM,1.0,6.31,1.0,N,163.0,87.0,1.0,22.0,0.5,0.5,5.16,0.0,0.3,30.96,2.5
40019,2.0,01/01/2020 02:23:02 AM,01/01/2020 02:30:51 AM,1.0,1.74,1.0,N,229.0,107.0,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
40020,2.0,01/01/2020 02:41:28 AM,01/01/2020 02:49:26 AM,1.0,1.24,1.0,N,79.0,113.0,1.0,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5
40021,2.0,01/01/2020 02:52:13 AM,01/01/2020 03:01:13 AM,1.0,1.1,1.0,N,113.0,79.0,1.0,7.5,0.5,0.5,3.39,0.0,0.3,14.69,2.5
40022,2.0,01/01/2020 01:58:21 AM,01/01/2020 02:03:30 AM,5.0,0.79,1.0,N,79.0,224.0,1.0,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
40023,2.0,01/01/2020 02:06:37 AM,01/01/2020 02:13:05 AM,5.0,2.38,1.0,N,224.0,232.0,2.0,9.0,0.5,0.5,0.0,0.0,0.3,12.8,2.5
40024,2.0,01/01/2020 02:14:57 AM,01/01/2020 02:26:39 AM,5.0,3.15,1.0,N,232.0,13.0,2.0,12.0,0.5,0.5,0.0,0.0,0.3,15.8,2.5
40025,2.0,01/01/2020 02:30:51 AM,01/01/2020 03:03:25 AM,4.0,7.7,1.0,N,231.0,7.0,2.0,26.5,0.5,0.5,0.0,0.0,0.3,30.3,2.5
40026,2.0,01/01/2020 02:30:07 AM,01/01/2020 02:58:19 AM,1.0,4.58,1.0,N,148.0,48.0,1.0,20.5,0.5,0.5,4.86,0.0,0.3,29.16,2.5
40027,1.0,01/01/2020 02:06:38 AM,01/01/2020 02:37:59 AM,3.0,6.7,1.0,N,40.0,112.0,1.0,25.0,0.5,0.5,15.0,0.0,0.3,41.3,0.0
40028,1.0,01/01/2020 02:04:35 AM,01/01/2020 02:11:13 AM,1.0,0.8,1.0,N,164.0,48.0,1.0,6.5,3.0,0.5,2.05,0.0,0.3,12.35,2.5
40029,1.0,01/01/2020 02:16:00 AM,01/01/2020 02:16:16 AM,1.0,0.8,1.0,N,246.0,48.0,4.0,2.5,3.0,0.5,0.0,0.0,0.3,6.3,2.5
40030,1.0,01/01/2020 02:17:18 AM,01/01/2020 02:30:26 AM,1.0,7.1,1.0,N,48.0,244.0,1.0,21.0,3.0,0.5,4.95,0.0,0.3,29.75,2.5
40031,2.0,01/01/2020 01:42:20 AM,01/01/2020 01:49:56 AM,2.0,1.58,1.0,N,141.0,262.0,1.0,8.0,0.5,0.5,2.0,0.0,0.3,13.8,2.5
40032,2.0,01/01/2020 01:52:06 AM,01/01/2020 02:07:19 AM,2.0,2.41,1.0,N,262.0,239.0,1.0,12.0,0.5,0.5,2.0,0.0,0.3,17.8,2.5
40033,2.0,01/01/2020 02:10:27 AM,01/01/2020 02:35:45 AM,2.0,5.79,1.0,N,143.0,79.0,2.0,21.5,0.5,0.5,0.0,0.0,0.3,25.3,2.5
40034,1.0,01/01/2020 02:47:33 AM,01/01/2020 02:54:27 AM,1.0,1.4,1.0,N,50.0,246.0,1.0,7.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
40035,2.0,01/01/2020 02:10:51 AM,01/01/2020 02:20:57 AM,1.0,1.49,1.0,N,162.0,186.0,2.0,8.5,0.5,0.5,0.0,0.0,0.3,12.3,2.5
40036,2.0,01/01/2020 02:21:42 AM,01/01/2020 02:31:50 AM,1.0,2.04,1.0,N,186.0,162.0,1.0,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
40037,2.0,01/01/2020 02:51:05 AM,01/01/2020 02:57:26 AM,2.0,0.16,1.0,N,161.0,162.0,2.0,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
40038,2.0,01/01/2020 02:25:35 AM,01/01/2020 02:26:21 AM,1.0,0.08,2.0,N,170.0,170.0,1.0,52.0,0.0,0.5,15.36,6.12,0.3,76.78,2.5
40039,2.0,01/01/2020 02:28:56 AM,01/01/2020 02:37:37 AM,1.0,1.32,1.0,N,170.0,229.0,1.0,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5
40040,2.0,01/01/2020 02:52:01 AM,01/01/2020 03:05:11 AM,1.0,1.82,1.0,N,79.0,158.0,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
40041,1.0,01/01/2020 02:50:48 AM,01/01/2020 02:55:21 AM,2.0,0.6,1.0,N,42.0,152.0,1.0,5.0,0.5,0.5,0.0,0.0,0.3,6.3,0.0
40042,1.0,01/01/2020 02:25:49 AM,01/01/2020 02:37:29 AM,1.0,1.8,1.0,N,107.0,224.0,1.0,9.5,3.0,0.5,2.65,0.0,0.3,15.95,2.5
40043,1.0,01/01/2020 02:42:36 AM,01/01/2020 02:46:35 AM,3.0,0.6,1.0,N,4.0,4.0,2.0,5.0,3.0,0.5,0.0,0.0,0.3,8.8,2.5
40044,1.0,01/01/2020 02:48:20 AM,01/01/2020 02:55:41 AM,1.0,0.8,1.0,N,4.0,79.0,2.0,6.5,3.0,0.5,0.0,0.0,0.3,10.3,2.5
40045,1.0,01/01/2020 02:58:45 AM,01/01/2020 03:08:31 AM,0.0,1.4,1.0,N,79.0,211.0,2.0,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5
40046,2.0,01/01/2020 02:12:02 AM,01/01/2020 02:25:04 AM,2.0,2.4,1.0,N,249.0,48.0,1.0,11.0,0.5,0.5,3.7,0.0,0.3,18.5,2.5
40047,2.0,01/01/2020 02:26:06 AM,01/01/2020 02:55:16 AM,2.0,8.18,1.0,N,48.0,82.0,1.0,27.5,0.5,0.5,0.0,0.0,0.3,31.3,2.5
40048,2.0,01/01/2020 02:04:39 AM,01/01/2020 02:22:02 AM,1.0,2.5,1.0,N,164.0,246.0,1.0,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5
